Timestamp,DeviceId,DeviceName,ActionType,FileName,FolderPath,SHA1,SHA256,MD5,PreviousFolderPath,PreviousFileName,FileSize,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountSid,InitiatingProcessMD5,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessFolderPath,InitiatingProcessFileName,InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoFileDescription,InitiatingProcessId,InitiatingProcessCommandLine,InitiatingProcessCreationTime,InitiatingProcessIntegrityLevel,InitiatingProcessTokenElevation,InitiatingProcessParentId,InitiatingProcessParentFileName,InitiatingProcessParentCreationTime,RequestProtocol,RequestAccountName,RequestAccountDomain,RequestAccountSid,ReportId,AdditionalFields,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessUniqueId
"Oct 9, 2024 2:56:53 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileCreated,__PSScriptPolicyTest_xcgyb0bj.avb.psm1,C:\Users\alice\AppData\Local\Temp\2\__PSScriptPolicyTest_xcgyb0bj.avb.psm1,,,,,,,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,0bc8a4cd1e07390bafd741e1fc0399a3,a2d8d23854e33984c08dcf8b03edc619c9c5ec69,75d6634a676fb0bea5bfd8d424e2bd4f685f3885853637ea143b2671a3bb76e9,c:\windows\system32\windowspowershell\v1.0\powershell.exe,powershell.exe,450560,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2340,POWERSHELL,PowerShell.EXE,Windows PowerShell,5192,"""powershell.exe"" ","Oct 9, 2024 2:56:53 PM",High,TokenElevationTypeDefault,6016,explorer.exe,"Oct 9, 2024 2:47:54 PM",Local,alice,DC01,S-1-5-21-827617619-716324038-3096087224-500,2797,"{""FileType"":""Error""}",2,1,2814749767106935
"Oct 9, 2024 2:56:53 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileCreated,__PSScriptPolicyTest_gqrhs2by.tu3.ps1,C:\Users\alice\AppData\Local\Temp\2\__PSScriptPolicyTest_gqrhs2by.tu3.ps1,,,,,,,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,0bc8a4cd1e07390bafd741e1fc0399a3,a2d8d23854e33984c08dcf8b03edc619c9c5ec69,75d6634a676fb0bea5bfd8d424e2bd4f685f3885853637ea143b2671a3bb76e9,c:\windows\system32\windowspowershell\v1.0\powershell.exe,powershell.exe,450560,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2340,POWERSHELL,PowerShell.EXE,Windows PowerShell,5192,"""powershell.exe"" ","Oct 9, 2024 2:56:53 PM",High,TokenElevationTypeDefault,6016,explorer.exe,"Oct 9, 2024 2:47:54 PM",Local,alice,DC01,S-1-5-21-827617619-716324038-3096087224-500,2796,"{""FileType"":""Error""}",2,1,2814749767106935
"Oct 9, 2024 2:57:16 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileCreated,__PSScriptPolicyTest_zxsi4bxl.flc.psm1,C:\Users\alice\AppData\Local\Temp\2\__PSScriptPolicyTest_zxsi4bxl.flc.psm1,,,,,,,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,0bc8a4cd1e07390bafd741e1fc0399a3,a2d8d23854e33984c08dcf8b03edc619c9c5ec69,75d6634a676fb0bea5bfd8d424e2bd4f685f3885853637ea143b2671a3bb76e9,c:\windows\system32\windowspowershell\v1.0\powershell.exe,powershell.exe,450560,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2340,POWERSHELL,PowerShell.EXE,Windows PowerShell,5192,"""powershell.exe"" ","Oct 9, 2024 2:56:53 PM",High,TokenElevationTypeDefault,6016,explorer.exe,"Oct 9, 2024 2:47:54 PM",Local,alice,DC01,S-1-5-21-827617619-716324038-3096087224-500,2831,"{""FileType"":""Error""}",2,1,2814749767106935
"Oct 9, 2024 2:57:16 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileCreated,__PSScriptPolicyTest_ucbjs5ir.wqg.ps1,C:\Users\alice\AppData\Local\Temp\2\__PSScriptPolicyTest_ucbjs5ir.wqg.ps1,,,,,,,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,0bc8a4cd1e07390bafd741e1fc0399a3,a2d8d23854e33984c08dcf8b03edc619c9c5ec69,75d6634a676fb0bea5bfd8d424e2bd4f685f3885853637ea143b2671a3bb76e9,c:\windows\system32\windowspowershell\v1.0\powershell.exe,powershell.exe,450560,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2340,POWERSHELL,PowerShell.EXE,Windows PowerShell,5192,"""powershell.exe"" ","Oct 9, 2024 2:56:53 PM",High,TokenElevationTypeDefault,6016,explorer.exe,"Oct 9, 2024 2:47:54 PM",Local,alice,DC01,S-1-5-21-827617619-716324038-3096087224-500,2830,"{""FileType"":""Error""}",2,1,2814749767106935
"Oct 9, 2024 2:57:47 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileDeleted,Utilman.exe,C:\Windows\System32\Utilman.exe,3fbd42e2460c2eeb2dfe115a4468a2b954d24958,54724f38ff2f85c3ff91de434895668b6f39008fc205a668ab6aafad6fb4d93d,503ee109ce5cac4bd61084cb28fbd200,,,331776,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,0bc8a4cd1e07390bafd741e1fc0399a3,a2d8d23854e33984c08dcf8b03edc619c9c5ec69,75d6634a676fb0bea5bfd8d424e2bd4f685f3885853637ea143b2671a3bb76e9,c:\windows\system32\windowspowershell\v1.0\powershell.exe,powershell.exe,450560,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2340,POWERSHELL,PowerShell.EXE,Windows PowerShell,5192,"""powershell.exe"" ","Oct 9, 2024 2:56:53 PM",High,TokenElevationTypeDefault,6016,explorer.exe,"Oct 9, 2024 2:47:54 PM",,,,,2913,"{""FileType"":""PortableExecutable""}",2,1,2814749767106935
"Oct 9, 2024 2:57:47 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileDeleted,Utilman.exe,C:\Windows\System32\Utilman.exe,3fbd42e2460c2eeb2dfe115a4468a2b954d24958,54724f38ff2f85c3ff91de434895668b6f39008fc205a668ab6aafad6fb4d93d,503ee109ce5cac4bd61084cb28fbd200,,,331776,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,0bc8a4cd1e07390bafd741e1fc0399a3,a2d8d23854e33984c08dcf8b03edc619c9c5ec69,75d6634a676fb0bea5bfd8d424e2bd4f685f3885853637ea143b2671a3bb76e9,c:\windows\system32\windowspowershell\v1.0\powershell.exe,powershell.exe,450560,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2340,POWERSHELL,PowerShell.EXE,Windows PowerShell,5192,"""powershell.exe"" ","Oct 9, 2024 2:56:53 PM",High,TokenElevationTypeDefault,6016,explorer.exe,"Oct 9, 2024 2:47:54 PM",,,,,2912,"{""FileType"":""PortableExecutable""}",2,1,2814749767106935
"Oct 9, 2024 2:57:47 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileCreated,utilman.exe,C:\Windows\System32\utilman.exe,3fbd42e2460c2eeb2dfe115a4468a2b954d24958,54724f38ff2f85c3ff91de434895668b6f39008fc205a668ab6aafad6fb4d93d,503ee109ce5cac4bd61084cb28fbd200,,,331776,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,0bc8a4cd1e07390bafd741e1fc0399a3,a2d8d23854e33984c08dcf8b03edc619c9c5ec69,75d6634a676fb0bea5bfd8d424e2bd4f685f3885853637ea143b2671a3bb76e9,c:\windows\system32\windowspowershell\v1.0\powershell.exe,powershell.exe,450560,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2340,POWERSHELL,PowerShell.EXE,Windows PowerShell,5192,"""powershell.exe"" ","Oct 9, 2024 2:56:53 PM",High,TokenElevationTypeDefault,6016,explorer.exe,"Oct 9, 2024 2:47:54 PM",Local,alice,DC01,S-1-5-21-827617619-716324038-3096087224-500,2917,"{""FileType"":""PortableExecutable""}",2,1,2814749767106935
"Oct 9, 2024 2:57:51 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileCreated,The Internet.lnk,C:\Users\alice\AppData\Roaming\Microsoft\Windows\Recent\The Internet.lnk,5aea7998b55ef5f89414e631853e8ee4493c33f9,b68e121586ef846dc2be14897087566ac72f6e6339f193609a5fc6f766e5c4aa,2de82bdf2e1adaf6aa6cbf2f26a3cf2b,,,104,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,ce1e7afe7a17be31473db3cb84d4e806,4490732cbe530d9f0d52bae029444b50e1cb5057,b5050e0661db175ca19cec51930637184cb01c8c6683633aee168d56f273ac08,c:\windows\explorer.exe,explorer.exe,4839992,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2582,explorer,EXPLORER.EXE,Windows Explorer,6016,Explorer.EXE,"Oct 9, 2024 2:47:54 PM",High,TokenElevationTypeDefault,6000,userinit.exe,"Oct 9, 2024 2:47:54 PM",Local,alice,DC01,S-1-5-21-827617619-716324038-3096087224-500,2950,"{""FileType"":""Unknown""}",2,1,2814749767106764
"Oct 9, 2024 2:57:51 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileCreated,windowsdefender--threat-.lnk,C:\Users\alice\AppData\Roaming\Microsoft\Windows\Recent\windowsdefender--threat-.lnk,6164e74a6d557dcbaa1583d0e2f3507a5cf38870,42d87813ff5a0c2641274b89ea4012464e497f6c3a54b21658c8ad71c46b2e45,d9ddfd87fa3c39d734c432f0d38a4ee7,,,166,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,ce1e7afe7a17be31473db3cb84d4e806,4490732cbe530d9f0d52bae029444b50e1cb5057,b5050e0661db175ca19cec51930637184cb01c8c6683633aee168d56f273ac08,c:\windows\explorer.exe,explorer.exe,4839992,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2582,explorer,EXPLORER.EXE,Windows Explorer,6016,Explorer.EXE,"Oct 9, 2024 2:47:54 PM",High,TokenElevationTypeDefault,6000,userinit.exe,"Oct 9, 2024 2:47:54 PM",Local,alice,DC01,S-1-5-21-827617619-716324038-3096087224-500,2948,"{""FileType"":""Unknown""}",2,1,2814749767106764
"Oct 9, 2024 2:58:05 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,FileCreated,__PSScriptPolicyTest_e34llh1u.krt.ps1,C:\Users\alice\AppData\Local\Temp\2\__PSScriptPolicyTest_e34llh1u.krt.ps1,,,,,,,dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,0bc8a4cd1e07390bafd741e1fc0399a3,a2d8d23854e33984c08dcf8b03edc619c9c5ec69,75d6634a676fb0bea5bfd8d424e2bd4f685f3885853637ea143b2671a3bb76e9,c:\windows\system32\windowspowershell\v1.0\powershell.exe,powershell.exe,450560,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2340,POWERSHELL,PowerShell.EXE,Windows PowerShell,9152,"""powershell.exe"" ","Oct 9, 2024 2:58:04 PM",High,TokenElevationTypeDefault,6016,explorer.exe,"Oct 9, 2024 2:47:54 PM",Local,alice,DC01,S-1-5-21-827617619-716324038-3096087224-500,2999,"{""FileType"":""Error""}",2,1,2814749767106955
