Timestamp,DeviceId,DeviceName,ActionType,FileName,FolderPath,SHA1,SHA256,MD5,FileSize,AccountDomain,AccountName,AccountSid,RemoteUrl,ProcessId,ProcessCommandLine,ProcessCreationTime,ProcessTokenElevation,LogonId,LocalIP,LocalPort,FileOriginUrl,FileOriginIP,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessMD5,InitiatingProcessFileName,InitiatingProcessFileSize,InitiatingProcessFolderPath,InitiatingProcessId,InitiatingProcessCommandLine,InitiatingProcessCreationTime,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountSid,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoFileDescription,InitiatingProcessParentId,InitiatingProcessParentFileName,InitiatingProcessParentCreationTime,InitiatingProcessLogonId,ReportId,AdditionalFields,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionIP,CreatedProcessSessionId,IsProcessRemoteSession,ProcessRemoteSessionDeviceName,ProcessRemoteSessionIP,InitiatingProcessUniqueId
"Oct 10, 2024 9:36:30 AM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,RemoteDesktopConnection,,,,,,,,,,,,,Invalid date,,,172.173.190.68,63443,,,,,,,,,0,,Invalid date,,,,,,,,,,0,,Invalid date,0,10090,"{""Protocol"":""TCP""}",,0,,,0,,,0
"Oct 10, 2024 9:41:51 AM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,RemoteDesktopConnection,,,,,,,,,,,,,Invalid date,,,185.73.124.37,65467,,,,,,,,,0,,Invalid date,,,,,,,,,,0,,Invalid date,0,10093,"{""Protocol"":""TCP""}",,0,,,0,,,0
"Oct 9, 2024 2:39:25 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,DpapiAccessed,,,,,,32,,,,,,,Invalid date,,,,,,,8c330665c7eb6a1be41e09c79d23cbe04448f129,99e842b7f440dbd3806563c251bda45bb494684b934bd1a2d0c5b4bec379df81,b7816cafbb9e52703168cdf2a940eefd,lsass.exe,84080,c:\windows\system32\lsass.exe,784,lsass.exe,"Oct 9, 2024 2:36:01 PM",nt authority,system,S-1-5-18,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2340,lsass.exe,lsass.exe,Local Security Authority Process,636,wininit.exe,"Oct 9, 2024 2:35:59 PM",0,42,"{""CallerProcessID"":784,""MasterKeyGUID"":""e4cedb88-8ac4-487d-800f-80e5f6058d39"",""OperationType"":""SPCryptUnprotect"",""ReturnValue"":0}",0,0,,,0,,,2533274790395919
"Oct 9, 2024 2:39:26 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,DpapiAccessed,,,,,,112,,,,,,,Invalid date,,,,,,,238304aa84d6a01d65f9d8309008c7434229c139,89c291326e2017e25a206a4ed135267adbb5839cdf730936f3d4af948195256e,6d32c214dff967fc889a705d0b77cfa0,svchost.exe,80056,c:\windows\system32\svchost.exe,2472,svchost.exe -k netsvcs -p -s WpnService,"Oct 9, 2024 2:36:09 PM",nt authority,system,S-1-5-18,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2520,svchost.exe,svchost.exe,Host Process for Windows Services,756,services.exe,"Oct 9, 2024 2:36:00 PM",0,45,"{""CallerProcessID"":2472,""Flags"":""CRYPTPROTECT_UI_FORBIDDEN"",""MasterKeyGUID"":""e4cedb88-8ac4-487d-800f-80e5f6058d39"",""OperationType"":""SPCryptProtect"",""ReturnValue"":0}",0,0,,,0,,,2533274790395964
"Oct 9, 2024 2:39:26 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,DpapiAccessed,,,,,,2016,,,,,,,Invalid date,,,,,,,238304aa84d6a01d65f9d8309008c7434229c139,89c291326e2017e25a206a4ed135267adbb5839cdf730936f3d4af948195256e,6d32c214dff967fc889a705d0b77cfa0,svchost.exe,80056,c:\windows\system32\svchost.exe,2472,svchost.exe -k netsvcs -p -s WpnService,"Oct 9, 2024 2:36:09 PM",nt authority,system,S-1-5-18,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2520,svchost.exe,svchost.exe,Host Process for Windows Services,756,services.exe,"Oct 9, 2024 2:36:00 PM",0,54,"{""CallerProcessID"":2472,""Flags"":""CRYPTPROTECT_UI_FORBIDDEN"",""MasterKeyGUID"":""e4cedb88-8ac4-487d-800f-80e5f6058d39"",""OperationType"":""SPCryptUnprotect"",""ReturnValue"":0}",0,0,,,0,,,2533274790395964
"Oct 9, 2024 2:39:29 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,GetClipboardData,,,,,,,,,,,,,Invalid date,,,,,,,4490732cbe530d9f0d52bae029444b50e1cb5057,b5050e0661db175ca19cec51930637184cb01c8c6683633aee168d56f273ac08,ce1e7afe7a17be31473db3cb84d4e806,explorer.exe,4839992,c:\windows\explorer.exe,5560,Explorer.EXE,"Oct 9, 2024 2:36:30 PM",dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2582,explorer,EXPLORER.EXE,Windows Explorer,5536,userinit.exe,"Oct 9, 2024 2:36:30 PM",0,64,,2,1,10.46.20.243,,0,,,2533274790396059
"Oct 9, 2024 2:39:29 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,GetClipboardData,,,,,,,,,,,,,Invalid date,,,,,,,4490732cbe530d9f0d52bae029444b50e1cb5057,b5050e0661db175ca19cec51930637184cb01c8c6683633aee168d56f273ac08,ce1e7afe7a17be31473db3cb84d4e806,explorer.exe,4839992,c:\windows\explorer.exe,5560,Explorer.EXE,"Oct 9, 2024 2:36:30 PM",dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2582,explorer,EXPLORER.EXE,Windows Explorer,5536,userinit.exe,"Oct 9, 2024 2:36:30 PM",0,65,,2,1,10.46.20.243,,0,,,2533274790396059
"Oct 9, 2024 2:39:29 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,NamedPipeEvent,,,,,,,,,S-1-5-21-827617619-716324038-3096087224-500,,,,Invalid date,,,,,,,f4034b0b1ce3dddf7fa21531fdde1d2e80acbce8,de7df916499b4e0d633b8a48d0c575c4b7f93fde0ae282b2c44fda5e24daced5,deffb7a25a566280b158b02cd7d5dc9f,mmc.exe,1929216,c:\windows\system32\mmc.exe,5028,"""mmc.exe"" ""C:\Windows\system32\lusrmgr.msc"" ","Oct 9, 2024 2:39:26 PM",dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2760,mmc.exe,mmc.exe,Microsoft Management Console,5500,SystemSettings.exe,"Oct 9, 2024 2:39:21 PM",347838,66,"{""DesiredAccess"":1180063,""FileOperation"":""File opened"",""NamedPipeEnd"":""Client"",""PipeName"":""\\Device\\NamedPipe\\wkssvc"",""RemoteClientsAccess"":""AcceptRemote"",""SessionId"":2,""ThreadId"":5484}",2,1,10.46.20.243,,0,,,2533274790396196
"Oct 9, 2024 2:39:29 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,NamedPipeEvent,,,,,,,,,S-1-5-20,,,,Invalid date,,,,,,,238304aa84d6a01d65f9d8309008c7434229c139,89c291326e2017e25a206a4ed135267adbb5839cdf730936f3d4af948195256e,6d32c214dff967fc889a705d0b77cfa0,svchost.exe,80056,c:\windows\system32\svchost.exe,1992,svchost.exe -k NetworkService -p -s LanmanWorkstation,"Oct 9, 2024 2:36:08 PM",nt authority,network service,S-1-5-20,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2520,svchost.exe,svchost.exe,Host Process for Windows Services,756,services.exe,"Oct 9, 2024 2:36:00 PM",0,67,"{""DesiredAccess"":1180063,""FileOperation"":""File opened"",""NamedPipeEnd"":""Server"",""PipeName"":""\\Device\\NamedPipe\\wkssvc"",""RemoteClientsAccess"":""AcceptRemote"",""SessionId"":0,""ThreadId"":1180}",0,0,,,0,,,2533274790395954
"Oct 9, 2024 2:39:29 PM",519c3f1d95fc1de87e9e09a9884365b64c2fe50e,dc01,NamedPipeEvent,,,,,,,,,S-1-5-21-827617619-716324038-3096087224-500,,,,Invalid date,,,,,,,f4034b0b1ce3dddf7fa21531fdde1d2e80acbce8,de7df916499b4e0d633b8a48d0c575c4b7f93fde0ae282b2c44fda5e24daced5,deffb7a25a566280b158b02cd7d5dc9f,mmc.exe,1929216,c:\windows\system32\mmc.exe,5028,"""mmc.exe"" ""C:\Windows\system32\lusrmgr.msc"" ","Oct 9, 2024 2:39:26 PM",dc01,alice,S-1-5-21-827617619-716324038-3096087224-500,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.20348.2760,mmc.exe,mmc.exe,Microsoft Management Console,5500,SystemSettings.exe,"Oct 9, 2024 2:39:21 PM",347838,68,"{""DesiredAccess"":1180063,""FileOperation"":""File opened"",""NamedPipeEnd"":""Client"",""PipeName"":""\\Device\\NamedPipe\\lsass"",""RemoteClientsAccess"":""AcceptRemote"",""SessionId"":2,""ThreadId"":5484}",2,1,10.46.20.243,,0,,,2533274790396196
